iter	RMSE	Huber:delta=0.5
91	5.392560747	0.3555083831
92	5.390216008	0.3549295592
93	5.388284468	0.3544629843
94	5.386555272	0.3539495542
95	5.385251438	0.3534897136
96	5.383843675	0.3530099894
97	5.381862441	0.3524932187
98	5.379866816	0.3520277141
99	5.378064819	0.3515451204
100	5.377170908	0.3511734678
101	5.376054621	0.3507705884
102	5.374061774	0.3502880265
103	5.37272487	0.3498731403
104	5.370333489	0.3493601947
105	5.36883883	0.3489510459
106	5.365890587	0.3483898049
107	5.363723522	0.3480586763
108	5.362631427	0.3476882372
109	5.360449122	0.3473796776
110	5.359113214	0.3470255591
111	5.357272705	0.3466650087
112	5.356216901	0.3462952507
113	5.353536129	0.3459788885
114	5.351678814	0.3457008684
115	5.347125041	0.3451732552
116	5.345590102	0.3448480093
117	5.342498778	0.3443864549
118	5.340128384	0.3439811858
119	5.337748124	0.343556408
120	5.335886549	0.3432860354
121	5.333724935	0.3428497284
122	5.331560881	0.3424235073
123	5.32854975	0.3419957908
124	5.326369225	0.3416796297
125	5.32375135	0.3412431592
126	5.322658752	0.3409365225
127	5.320303712	0.3406594442
128	5.318781364	0.3404307084
129	5.317091257	0.3401789905
130	5.31556232	0.3399046158
131	5.313559354	0.3396521724
132	5.311802147	0.3393300117
133	5.309534091	0.3390766344
134	5.307495368	0.3387548553
135	5.305453687	0.3385266014
136	5.302933525	0.3381503447
137	5.301091992	0.3379242916
138	5.299037621	0.3376687356
139	5.297331438	0.3373644226
140	5.294753547	0.3371058708
141	5.292710901	0.3369146351
142	5.291235934	0.3366869535
143	5.289264878	0.336352013
144	5.288017177	0.3360877724
145	5.28632869	0.3358612082
146	5.284701844	0.3356471684
147	5.28315765	0.3354855556
148	5.280991575	0.3351513356
149	5.279133819	0.3347740519
150	5.277386782	0.3345717995
151	5.275819105	0.3343654822
152	5.273849209	0.3341580777
153	5.270117673	0.3338963796
154	5.267687261	0.3336244524
155	5.265274298	0.3332747397
156	5.263110669	0.3330918593
157	5.261241719	0.3327469812
158	5.259504323	0.3325576172
159	5.256409163	0.3323481719
160	5.253598806	0.3321332056
161	5.252047023	0.3318074829
162	5.250384392	0.3314541943
163	5.248879201	0.3312216927
164	5.247544362	0.3310591736
165	5.245808468	0.3308757956
166	5.243877651	0.3306026377
167	5.241785026	0.3303873281
168	5.240386003	0.3300980822
169	5.23849445	0.3298553131
170	5.236990855	0.3296901933
171	5.234840889	0.3294957677
172	5.232594246	0.329334894
173	5.229334259	0.328982215
174	5.227199956	0.3286384734
175	5.224990484	0.328343604
176	5.223107527	0.3281973932
177	5.220580654	0.3280003047
178	5.219159137	0.3278525974
179	5.216998843	0.327623364
180	5.215035793	0.3274465564
181	5.212743332	0.3272600625
182	5.209902623	0.3270794587
183	5.207507931	0.3268840722
184	5.204943877	0.3266734254
185	5.202519139	0.326507935
186	5.200570538	0.3263396156
187	5.196957292	0.3261201934
188	5.194748069	0.3259446558
189	5.191958447	0.3257743727
190	5.189194145	0.3255950528
191	5.187621182	0.3254447139
192	5.186080295	0.3251554182
193	5.183814251	0.324848138
194	5.18161274	0.3245279613
195	5.179560972	0.3243264698
196	5.177313464	0.3241265519
197	5.174948258	0.3239967537
198	5.173035445	0.3238579613
199	5.170697616	0.3236993268
200	5.16811011	0.3234570371
201	5.166184454	0.3232656635
202	5.164872028	0.3230310308
203	5.162841765	0.3227477338
204	5.160309626	0.3225801729
205	5.158047884	0.3224365001
206	5.156223385	0.3222527011
207	5.154719678	0.3221370882
208	5.152997321	0.3219211756
209	5.151121587	0.3216564077
210	5.148848237	0.3213918812
211	5.147050645	0.3212499189
212	5.145289679	0.3211180734
